,user_a,user_b
0,Có bao nhiêu lo?i tour khác nhau?,"Có ba lo?i tour khác nhau: H?ng VIP, H?ng tiêu chu?n, và H?ng ph? thông."
1,Tour H?ng VIP có giá bao nhiêu?,Tour H?ng VIP có giá là 900%.
2,Giá c?a Tour H?ng tiêu chu?n là gì?,Giá c?a Tour H?ng tiêu chu?n là 500%.
3,Tour H?ng ph? thông có giá là bao nhiêu?,Tour H?ng ph? thông có giá là 300%.
4,Tour nào có s? lu?ng ngu?i tham gia t?i da?,Tour H?ng VIP có s? lu?ng ngu?i tham gia t?i da là 5 ngu?i.
5,Tour H?ng VIP h? tr? bao nhiêu ngu?i tham gia?,Tour H?ng tiêu chu?n cho phép t?i da 10 ngu?i tham gia.
6,Tour H?ng tiêu chu?n cho phép t?i da bao nhiêu ngu?i tham gia?,Tour H?ng ph? thông có s? lu?ng ngu?i t?i da là 55 ngu?i.
7,B?n có th? cho tôi bi?t mô t? c?a Tour H?ng VIP là gì không?,"Mô t? c?a Tour H?ng VIP bao g?m tr?i nghi?m hàng lo?t d?ch v? VIP nhu: Xe limousine dua dón trên toàn hành trình, khách s?n 5 sao, Hu?ng d?n viên cá nhân, vé máy bay h?ng thuong gia, và nhi?u ti?n ích h?ng nh?t khác."
8,Mô t? c?a Tour H?ng tiêu chu?n là gì?,"Mô t? c?a Tour H?ng tiêu chu?n là: ""Không c?n tr? thêm b?t c? kho?n phí nào, tho?i mái tr?i nghi?m, ch?t lu?ng d?m b?o."""
9,Tour H?ng ph? thông có mô t? gì?,"Mô t? c?a Tour H?ng ph? thông là: ""Ð?m b?o các ti?n nghi c?n thi?t cùng m?c giá không th? tuy?t hon, phù h?p các doàn khách mong mu?n tr?i nghi?m vùng d?t m?i v?i chi phí phù h?p nh?t!"""
10,Tour nào có nhi?u ti?n ích VIP nh?t?,Tour H?ng VIP có nhi?u ti?n ích VIP nh?t.
11,Có vé máy bay h?ng thuong gia trong Tour H?ng VIP không?,Tour H?ng VIP bao g?m vé máy bay h?ng thuong gia.
12,Có b?t k? kho?n phí nào di kèm v?i Tour H?ng tiêu chu?n không?,Tour H?ng tiêu chu?n không có b?t k? kho?n phí nào di kèm.
13,"Tour H?ng ph? thông phù h?p cho nh?ng doàn khách mu?n ti?t ki?m chi phí, dúng không?",Tour H?ng ph? thông phù h?p cho nh?ng doàn khách mu?n ti?t ki?m chi phí.
14,B?n có th? ch? ra các ti?n ích VIP có trong Tour H?ng VIP không?,Tour H?ng VIP có nam ngu?i t?i da du?c ph?c v?.
15,Tour H?ng tiêu chu?n bao g?m di?u gì?,Tour H?ng tiêu chu?n bao g?m 10 ngu?i t?i da.
16,Tour H?ng ph? thông cung c?p nh?ng d?ch v? nào?,Tour H?ng ph? thông không có gi?i h?n v? s? lu?ng ngu?i t?i da.
17,Có th? tùy ch?nh Tour H?ng VIP không?,Tour H?ng VIP không có gi?i h?n tu?i.
18,Tour H?ng tiêu chu?n có hu?ng d?n viên riêng không?,Tour H?ng tiêu chu?n không cho phép tùy ch?nh th?i gian.
19,Tour H?ng ph? thông có xe dua dón không?,Tour H?ng ph? thông không có d?ch v? hu?ng d?n viên riêng.
20,Tour H?ng VIP phù h?p cho m?t nhóm 7 ngu?i không?,Tour H?ng VIP có d?ch v? xe dua dón t? sân bay.
21,Tour H?ng tiêu chu?n có th? dáp ?ng cho m?t doàn 12 ngu?i không?,Tour H?ng tiêu chu?n không bao g?m vé máy bay.
22,Tour H?ng ph? thông có gi?i h?n s? lu?ng ngu?i t?i thi?u?,Tour H?ng ph? thông có gi?i h?n v? s? lu?ng ngày.
23,Có gi?i h?n tu?i cho Tour H?ng VIP không?,Tour H?ng VIP phù h?p cho m?t doàn khách 6 ngu?i.
24,B?n có th? nói thêm v? ch?t lu?ng c?a khách s?n trong Tour H?ng VIP không?,Tour H?ng tiêu chu?n phù h?p cho m?t doàn khách 8 ngu?i.
25,Tour H?ng tiêu chu?n bao g?m các b?a an không?,Tour H?ng ph? thông có th? tùy ch?nh th?i gian.
26,Có mua vé máy bay riêng trong Tour H?ng tiêu chu?n không?,Tour H?ng VIP có giá tr?n gói không c?n tr? thêm.
