,user_a,user_b
0,Có bao nhiêu loại tour khác nhau?,"Có ba loại tour khác nhau: Hạng VIP, Hạng tiêu chuẩn, và Hạng phổ thông."
1,Tour Hạng VIP có giá bao nhiêu?,Tour Hạng VIP có giá là 900 đơn vị tiền tệ.
2,Giá của Tour Hạng tiêu chuẩn là gì?,Giá của Tour Hạng tiêu chuẩn là 500 đơn vị tiền tệ.
3,Tour Hạng phổ thông có giá là bao nhiêu?,Tour Hạng phổ thông có giá là 300 đơn vị tiền tệ.
4,Tour nào có số lượng người tham gia tối đa?,Tour Hạng VIP có số lượng người tham gia tối đa là 5 người.
5,Tour Hạng VIP hỗ trợ bao nhiêu người tham gia?,Tour Hạng tiêu chuẩn cho phép tối đa 10 người tham gia.
6,Tour Hạng tiêu chuẩn cho phép tối đa bao nhiêu người tham gia?,Tour Hạng phổ thông có số lượng người tối đa là 55 người.
7,Bạn có thể cho tôi biết mô tả của Tour Hạng VIP là gì không?,"Mô tả của Tour Hạng VIP bao gồm trải nghiệm hàng loạt dịch vụ VIP như: Xe limousine đưa đón trên toàn hành trình, khách sạn 5 sao, Hướng dẫn viên cá nhân, vé máy bay hạng thương gia, và nhiều tiện ích hạng nhất khác."
8,Mô tả của Tour Hạng tiêu chuẩn là gì?,"Mô tả của Tour Hạng tiêu chuẩn là: ""Không cần trả thêm bất cứ khoản phí nào, thoải mái trải nghiệm, chất lượng đảm bảo."""
9,Tour Hạng phổ thông có mô tả gì?,"Mô tả của Tour Hạng phổ thông là: ""Đảm bảo các tiện nghi cần thiết cùng mức giá không thể tuyệt hơn, phù hợp các đoàn khách mong muốn trải nghiệm vùng đất mới với chi phí phù hợp nhất!"""
10,Tour nào có nhiều tiện ích VIP nhất?,Tour Hạng VIP có nhiều tiện ích VIP nhất.
11,Có vé máy bay hạng thương gia trong Tour Hạng VIP không?,Tour Hạng VIP bao gồm vé máy bay hạng thương gia.
12,Có bất kỳ khoản phí nào đi kèm với Tour Hạng tiêu chuẩn không?,Tour Hạng tiêu chuẩn không có bất kỳ khoản phí nào đi kèm.
13,"Tour Hạng phổ thông phù hợp cho những đoàn khách muốn tiết kiệm chi phí, đúng không?",Tour Hạng phổ thông phù hợp cho những đoàn khách muốn tiết kiệm chi phí.
14,Bạn có thể chỉ ra các tiện ích VIP có trong Tour Hạng VIP không?,Tour Hạng VIP có năm người tối đa được phục vụ.
15,Tour Hạng tiêu chuẩn bao gồm điều gì?,Tour Hạng tiêu chuẩn bao gồm 10 người tối đa.
16,Tour Hạng phổ thông cung cấp những dịch vụ nào?,Tour Hạng phổ thông không có giới hạn về số lượng người tối đa.
17,Có thể tùy chỉnh Tour Hạng VIP không?,Tour Hạng VIP không có giới hạn tuổi.
18,Tour Hạng tiêu chuẩn có hướng dẫn viên riêng không?,Tour Hạng tiêu chuẩn không cho phép tùy chỉnh thời gian.
19,Tour Hạng phổ thông có xe đưa đón không?,Tour Hạng phổ thông không có dịch vụ hướng dẫn viên riêng.
20,Tour Hạng VIP phù hợp cho một nhóm 7 người không?,Tour Hạng VIP có dịch vụ xe đưa đón từ sân bay.
